B2BEngageScr,0411
B2BEngageScr,0053
B2BQACar,01810
B2BQACar,46060
B2BQACar,46033
B2BQACar,46055
B2BQACar,46226
B2BQACla,94101
B2BQACla,94102
B2BQACla,94103
B2BQACla,94104
B2BQAPho,01810
B2BQAScr,0053
B2BQAScr,63101
B2BQAScr,63122
B2BQAScr,62220
B2BQAScr,63005
B2BQAScr,63145
Bluewater,36301
Bluewater,36302
Bluewater,36303
CFCN,0054
CFQC,0442
CFRN,0126
CIVT,0518
CKCK,0397
CKY,0547
Global,0330
InnDot,0132
KABB,78229
KAGS,77840
KAIT,72401
KAJ,59901
KAJ,59903
KAJ,59904
KAKE,67203
KAKE,67401
KAKE,67530
KAKE,67846
KAKE,67801
KALB,71301
KATC,70506
KATV,72203
KAUZ,76308
KBJR,55811
KBJR,54880
KBJR,54806
KBJR,54843
KBJR,55746
KBJR,55604
KBJR,49938
KBTX,77802
KBTX,77801
KBTX,77845
KBTX,77840
KBTX,77843
KBZK,59715
KBZK,59717
KBZK,59718
KCBD,79424
KCBS,91604
KCCI,50309
KCNC,80203
KCPQ,98101
KCRG,52401
KCWY,82601
KCWY,82501
KCWY,82801
KCWY,80264
KCWY,84101
KDAF,75032
KDFW,75202
KDKA,15222
KDRV,97501
KDVR,80023
KECI,59802
KEVN,57701
KEYC,56001
KEYC,56003
KEYC,56031
KEYE,78758
KEZI,97401
KFDA,79108
KFDM,77702
KFOR,73114
KFOX,88005
KFSM,72901
KFVS,63701
KFYR,58501
KFYR,58601
KFYR,58701
KFYR,58801
KFYR,58102
KFYR,55401
KFYR,60603
KGAN,52402
KGBT,78552
KGNS,78040
KGNS,78041
KGNS,78042
KGNS,78043
KGNS,78044
KGNS,78045
KGNS,78046
KGNS,78049
KGNS,88030
KGNS,88230
KGNS,88278
KGNS,88070
KGNS,88240
KGWN,82001
KGWN,82002
KGWN,82003
KGWN,82006
KGWN,82007
KGWN,82008
KGWN,82009
KGWN,82010
KHNL,96813
KHQ,99201
KHQ,83854
KHQ,99205
KHQ,99203
KHQ,99224
KHQA,62301
KHSL,95926
KHSL,96001
KHSL,96080
KHSL,95965
KHSL,96020
KIAH,77063
KIMT,55901
KIMT,50401
KIMT,56007
KIMT,55912
KIMT,50616
KITV,96813
KJCT,81501
KJCT,81401
KJCT,81416
KJCT,81650
KJCT,80204
KJCT,84101
KKCO,81501
KKCO,81401
KKCO,81416
KKCO,81650
KKCO,80204
KKCO,84101
KKTV,80903
KKTV,81003
KKTV,80840
KKTV,80902
KLAX,71303
KLAX,71301
KLAX,71302
KLAX,71360
KLTV,75702
KMEG,51101
KMOT,58702
KMOT,58501
KMOT,58601
KMOT,58801
KMOT,58102
KMOT,55401
KMOT,60603
KMPH,93727
KMSP,55403
KMVT,83301
KMVT,83340
KMVT,83318
KMVT,83333
KMVT,83383
KNBN,57701
KNBN,57702
KNBN,57783
KNBN,57785
KNBN,57717
KNBN,57732
KNBN,57754
KNBN,57730
KNBN,57747
KNEP,69361
KNEP,69363
KNOE,71201
KNOP,69101
KNOP,69103
KOAA,80905
KOAA,80909
KOAA,80923
KOAA,80919
KOAA,80903
KOAA,81003
KOAA,81212
KOAM,64801
KOAM,66762
KOAT,87107
KOIN,97201
KOKH,73111
KOLD,85716
KOLN,68502
KOLN,68503
KOLN,68504
KOLN,68505
KOLN,68506
KOLO,89502
KOLO,89436
KOLO,89403
KOLO,96160
KOLO,89408
KOMO,98109
KOMU,65201
KOSA,79760
KOSA,79761
KOSA,79762
KOSA,79763
KOSA,79764
KOTA,57701
KOTA,57783
KOTA,57730
KOTA,82718
KOVR,95605
KPAX,59801
KPAX,59804
KPAX,59808
KPAX,59901
KPAX,59840
KPIX,94111
KPLC,70601
KPLR,63146
KPVI,83201
KPVI,83202
KPVI,83402
KPVI,83440
KPVI,83221
KQCD,58601
KQCD,58501
KQCD,58701
KQCD,58801
KQCD,58102
KQCD,55401
KQCD,60603
KQTV,64501
KQTV,64502
KQTV,64503
KQTV,64504
KQTV,64505
KQTV,64506
KQTV,64507
KQTV,64508
KRCG,65063
KRCR,96002
KRCW,97005
KRGV,78596
KRGV,78550
KRGV,78520
KRGV,78501
KRGV,78580
KRGV,78582
KRIS,78401
KRIV,77002
KRON,94109
KRON,94601
KRON,94801
KRON,94061
KRON,95101
KRQE,87106
KRQE,87004
KRQE,87501
KRQE,87401
KRQE,81301
KRQE,87701
KRQE,88201
KRQE,88061
KRTV,59404
KRTV,59403
KRTV,59402
KRTV,59401
KRTV,59405
KSAZ,85003
KSBY,93405
KSBY,93446
KSBY,93456
KSBY,93420
KSBY,93460
KSDK,63101
KSDK,63122
KSDK,62220
KSDK,63005
KSDK,63145
KSFY,57104
KSL,84180
KSL,84110
KSL,84102
KSLA,71101
KSNB,68801
KSNB,68802
KSNB,68803
KSNB,68901
KSNB,68902
KSNB,68845
KSNB,68847
KSNB,68848
KSNB,68849
KSNT,66601
KSNT,66503
KSNT,66801
KSNT,66441
KSNT,66436
KSNT,66049
KSNV,89101
KSPR,65807
KSTU,84116
KSWB,92111
KSWO,73501
KTBS,71104
KTHV,72212
KTHV,72205
KTHV,72327
KTHV,72207
KTIV,51101
KTIV,68701
KTIV,51301
KTIV,57078
KTLA,90038
KTRE,75901
KTTC,55901
KTUL,74107
KTUU,99503
KTVF,99701
KTVF,99709
KTVF,99712
KTVI,63001
KTVO,63501
KTVQ,59101
KTVQ,59102
KTVQ,59103
KTVT,75202
KTVU,94117
KTXL,95820
KTXS,79601
KUMV,58802
KUMV,58501
KUMV,58601
KUMV,58701
KUMV,58102
KUMV,55401
KUMV,60603
KUSA,80203
KUSO,68701
KUTV,84111
KVII,79101
KVLY,58103
KVOA,85705
KWBE,68310
KWBE,68352
KWBE,68370
KWBE,68333
KWCH,67212
KWES,79711
KWQC,52806
KWQC,52807
KWQC,52803
KWQC,52802
KWQC,52722
KWQC,52807
KWQC,61204
KWQC,61299
KWQC,61265
KWQC,61244
KWQC,61256
KWTX,76702
KWTX,76501
KWTX,76540
KWTX,76528
KWWL,50644
KWWL,50701
KWWL,52405
KWWL,52002
KWWL,522402
KXAN,78701
KXAN,78626
KXAN,78611
KXAN,78666
KXAN,78602
KXAN,78643
KXAN,78624
KXAN,78606
KXAN,76550
KXAN,76877
KXAN,76856
KXAN,76567
KXAN,78942
KXAN,78945
KXAN,78644
KXII,75090
KXII,75020
KXII,74820
KXII,73401
KXII,74701
KXII,75460
KXLF,59701
KXLF,59702
KXLF,59703
KXLH,59601
KXLH,59602
KXLH,59604
KXLN,77001
KXLY,99201
KXLY,83814
KXRM,80903
KXRM,81003
KXRM,81212
KXRM,80863
KXTV,95818
KXXV,76711
KYOU,52501
KYTV,65807
KYTX,75703
KYW,19130
KZTV,78401
Lorac,00000
MauiWatch,96720
MauiWatch,96732
MauiWatch,96793
MauiWatch,96753
MauiWatch,96761
MauiWatch,96768
NH1,03301
NH1,03060
NH1,03103
NH1,03802
NH1,03833
TBO,33602
TBO,33604
TBO,33705
TBO,34698
TVAlabama,35244
TWCB2B,01810
TWCB2B,89109
TWCB2B,02215
TWCB2B,60613
TWCB2B,90015
TracFone,33178
WAAY,35801
WAAY,35630
WAAY,35601
WAAY,35951
WAAY,35967
WABI,04401
WABI,04901
WABI,04462
WABI,04441
WABI,04609
WABI,04619
WACH,29201
WAFB,70802
WAFF,35801
WAGA,30303
WAGM,04769
WAGM,04736
WAGM,04730
WAGM,04743
WAKA,36106
WAKA,36117
WAKA,36104
WALB,31707
WAND,62521
WANE,46808
WAOW,54401
WAOW,54481
WAOW,54404
WAOW,54441
WAOW,54452
WAOW,54409
WAOW,54411
WAOW,54479
WAOW,54426
WAPA,00923
WAPA,00966
WAPA,00930
WATE,37918
WATE,37803
WATE,37716
WATE,37814
WATE,37862
WATE,37738
WATE,38555
WAVE,40203
WAVY,23518
WAVY,23462
WAVY,23704
WAVY,23322
WAVY,23602
WAVY,23666
WAVY,23434
WBAY,54301
WBAY,54911
WBAY,54901
WBAY,54220
WBAY,54143
WBBM,60602
WBFF,21201
WBIR,37917
WBIR,37921
WBIR,37920
WBIR,37914
WBIR,37918
WBKO,42101
WBKO,42141
WBND,46614
WBNG,13905
WBNG,13790
WBNG,13850
WBOC,21801
WBRC,35201
WBRZ,70802
WBTV,28211
WBZ,02134
WCAV,22901
WCAV,22960
WCAV,24590
WCAV,22963
WCAV,22942
WCAV,22727
WCAX,05401
WCBD,29401
WCBD,29464
WCBD,29439
WCBD,29405
WCBD,29406
WCBS,10019
WCCO,55403
WCHS,25301
WCIV,29403
WCJB,32024
WCJB,32607
WCJB,32615
WCJB,32627
WCJB,32643
WCJB,32667
WCSC,29404
WCTI,28560
WCTV,32301
WCTV,31601
WCTV,31792
WCTV,39819
WCTV,32348
WCYB,37617
WCYB,37620
WCYB,37660
WCYB,37601
WDAF,64101
WDAM,39402
WDAY,58078
WDAY,58103
WDAY,56561
WDAY,58047
WDAY,58059
WDBJ,24017
WDBJ,24501
WDBJ,24540
WDBJ,24060
WDCW,20007
WDEF,37408
WDEF,37311
WDEF,30719
